row_id,split,split_order,target,name,formula,natoms,efermi_eV,evac_eV,workfunction_eV,workfunction_recomputed_eV,formula_abs_diff_eV
14,test,152,5.755359,MIP2D-1137-Au2Cl2N2,Au2Cl2N2,6,-3.3426,2.4127590000000003,5.755359,5.755359,0.0
15,val,104,6.133840999999999,MIP2D-1360-Cl2N2Sn2,Cl2N2Sn2,6,-3.3339,2.7999409999999996,6.133840999999999,6.133840999999999,0.0
16,train,705,5.3740179999999995,MIP2D-1567-I2Ru2S2,I2Ru2S2,6,-2.2694,3.104618,5.3740179999999995,5.3740179999999995,0.0
17,train,1455,3.7502950000000004,MIP2D-466-Cl2Zr2,Cl2Zr2,4,-0.5444,3.2058950000000004,3.7502950000000004,3.7502950000000004,0.0
18,train,158,3.092309,MIP2D-677-Hf2O2,Hf2O2,4,-1.3566,1.735709,3.092309,3.092309,0.0
19,train,243,5.964074999999999,MIP2D-57-As2I6,As2I6,8,-4.1399,1.8241749999999999,5.964074999999999,5.964074999999999,0.0
20,train,1479,5.071588,MIP2D-837-Mo1S2,MoS2,3,-2.5323,2.5392880000000004,5.071588,5.071588,0.0
21,train,1072,7.081384,MIP2D-1105-Ag2Cl2S2,Ag2Cl2S2,6,-3.4306,3.6507840000000003,7.081384,7.081384,0.0
22,train,866,6.2887260000000005,MIP2D-1184-Br2Ga2O2,Br2Ga2O2,6,-3.8671,2.4216260000000003,6.2887260000000005,6.2887260000000005,0.0
23,train,615,4.821104,MIP2D-1520-I2Mo2S2,I2Mo2S2,6,-1.7567,3.0644039999999997,4.821104,4.821104,0.0
24,test,10,1.414665,MIP2D-348-C2H2O2Sc3,C2H2O2Sc3,9,0.4575,1.872165,1.414665,1.414665,0.0
25,train,39,1.4725860000000002,MIP2D-352-C2H2O2V3,C2H2O2V3,9,1.5446,3.017186,1.4725860000000002,1.4725860000000002,0.0
26,train,1108,4.873993,MIP2D-1000-Rh2S2,Rh2S2,4,-1.627,3.246993,4.873993,4.873993,0.0
27,train,873,4.896872999999999,MIP2D-1513-I2Ir2Se2,I2Ir2Se2,6,-2.2274,2.669473,4.896872999999999,4.896872999999999,0.0
28,train,210,4.6333400000000005,MIP2D-1716-Te6Ti2,Te6Ti2,8,-0.8792,3.7541400000000005,4.6333400000000005,4.6333400000000005,0.0
29,train,1026,4.455419,MIP2D-518-Cl6W2,Cl6W2,8,-2.5253,1.930119,4.455419,4.455419,0.0
30,train,792,7.659765999999999,MIP2D-934-O2Zr1,O2Zr,3,-5.7424,1.9173659999999995,7.659765999999999,7.659765999999999,0.0
31,val,41,5.755789,MIP2D-1168-Br2Co2S2,Br2Co2S2,6,-3.2602,2.495589,5.755789,5.755789,0.0
32,train,427,6.788376,MIP2D-1425-Cl4Pd2,Cl4Pd2,6,-4.8631,1.9252760000000002,6.788376,6.788376,0.0
33,train,448,7.672449,MIP2D-1646-O6Pt2,O6Pt2,8,-5.7724,1.9000489999999999,7.672449,7.672449,0.0
34,train,931,7.225716,MIP2D-1653-O6Zr2,O6Zr2,8,-4.4704,2.7553160000000005,7.225716,7.225716,0.0
35,train,597,4.719113999999999,MIP2D-1825-Nd2Te6,Nd2Te6,8,-0.146,4.5731139999999995,4.719113999999999,4.719113999999999,0.0
36,train,1061,5.163958,MIP2D-1694-S6U2,S6U2,8,-1.581,3.582958,5.163958,5.163958,0.0
37,train,684,4.540998,MIP2D-1097-Te2Zr2,Te2Zr2,4,-0.9738,3.5671980000000003,4.540998,4.540998,0.0
38,train,827,5.581664999999999,MIP2D-1108-Ag2I2O2,Ag2I2O2,6,-2.4648,3.1168649999999998,5.581664999999999,5.581664999999999,0.0
39,train,544,6.01687,MIP2D-1160-Bi2I2O2,Bi2I2O2,6,-2.8862,3.13067,6.01687,6.01687,0.0
40,val,157,6.543787,MIP2D-142-Br2Cu1,Br2Cu,3,-4.7252,1.8185869999999997,6.543787,6.543787,0.0
41,train,1199,4.300905,MIP2D-1490-Hf2I2Se2,Hf2I2Se2,6,-1.793,2.507905,4.300905,4.300905,0.0
42,train,1141,6.313925,MIP2D-256-Br6V2,Br6V2,8,-4.7557,1.558225,6.313925,6.313925,0.0
43,train,96,4.3686869999999995,MIP2D-602-Fe2S2,Fe2S2,4,-2.9524,1.416287,4.3686869999999995,4.3686869999999995,0.0
44,val,110,4.880658,MIP2D-798-In2P6,In2P6,8,-3.6501,1.230558,4.880658,4.880658,0.0
45,train,724,4.5018709999999995,MIP2D-1238-Br2O2Os2,Br2O2Os2,6,-2.4135,2.088371,4.5018709999999995,4.5018709999999995,0.0
46,train,174,4.743947,MIP2D-1270-Br2S2W2,Br2S2W2,6,-2.0821,2.6618470000000003,4.743947,4.743947,0.0
47,train,545,5.444236999999999,MIP2D-607-Ga1I2,GaI2,3,-3.3063,2.137937,5.444236999999999,5.444236999999999,0.0
48,train,668,6.022286,MIP2D-1736-Bi2I2O2,Bi2I2O2,6,-2.6216,3.4006860000000003,6.022286,6.022286,0.0
49,train,1365,4.006103,MIP2D-335-C2F2Ti3,C2F2Ti3,7,-0.1046,3.9015030000000004,4.006103,4.006103,0.0
50,train,364,7.768471,MIP2D-921-O2Ti1,O2Ti,3,-6.2672,1.501271,7.768471,7.768471,0.0
51,train,1384,5.998265999999999,MIP2D-1262-Br2Ru2Se2,Br2Ru2Se2,6,-3.4435,2.554766,5.998265999999999,5.998265999999999,0.0
52,test,188,4.4039340000000005,MIP2D-678-Hf2S1,Hf2S,3,-1.8902,2.5137340000000004,4.4039340000000005,4.4039340000000005,0.0
53,train,1126,5.780747,MIP2D-1460-Cu2I2Se2,Cu2I2Se2,6,-2.7877,2.993047,5.780747,5.780747,0.0
54,train,344,6.910947,MIP2D-1746-Br2O2Sm2,Br2O2Sm2,6,-4.67,2.240947,6.910947,6.910947,0.0
55,test,166,4.073126,MIP2D-1793-I2Nd1,I2Nd,3,-1.9003,2.172826,4.073126,4.073126,0.0
56,train,1174,6.536306,MIP2D-1313-Cl2Er2S2,Cl2Er2S2,6,-4.5863,1.9500060000000001,6.536306,6.536306,0.0
57,train,1351,7.747358999999999,MIP2D-1314-Cl2F2,Cl2F2,4,-6.614,1.133359,7.747358999999999,7.747358999999999,0.0
58,train,666,4.28872,MIP2D-699-I2Ir1,I2Ir,3,-2.005,2.28372,4.28872,4.28872,0.0
59,train,1083,3.7414820000000004,MIP2D-853-N2Pb6,N2Pb6,8,-2.7284,1.0130820000000003,3.7414820000000004,3.7414820000000004,0.0
60,train,1182,7.306272,MIP2D-135-Br2Ca1,Br2Ca,3,-5.7604,1.545872,7.306272,7.306272,0.0
61,train,184,5.02178,MIP2D-1710-Se6Zr2,Se6Zr2,8,-1.9883,3.03348,5.02178,5.02178,0.0
62,test,172,6.4361880000000005,MIP2D-218-Br6Fe2,Br6Fe2,8,-5.1439,1.2922879999999999,6.4361880000000005,6.4361880000000005,0.0
63,train,517,6.6088640000000005,MIP2D-730-I2Sr1,I2Sr,3,-4.7862,1.822664,6.6088640000000005,6.6088640000000005,0.0
64,train,1144,4.957085,MIP2D-824-Mn1Se2,MnSe2,3,-3.3077,1.6493849999999999,4.957085,4.957085,0.0
65,val,97,5.745353,MIP2D-1400-Cl2Ru2Se2,Cl2Ru2Se2,6,-3.3601,2.3852529999999996,5.745353,5.745353,0.0
66,test,173,3.9392350000000005,MIP2D-1423-Cl4Mo2,Cl4Mo2,6,-1.3277,2.6115350000000004,3.9392350000000005,3.9392350000000005,0.0
67,train,993,6.663304,MIP2D-406-Cl2Ge1,Cl2Ge,3,-5.1401,1.5232040000000002,6.663304,6.663304,0.0
68,train,466,5.3995169999999995,MIP2D-872-Nb2S2,Nb2S2,4,-1.4976,3.9019169999999996,5.3995169999999995,5.3995169999999995,0.0
69,train,61,4.537911,MIP2D-962-Pb1Te2,PbTe2,3,-1.3156,3.222311,4.537911,4.537911,0.0
70,train,27,4.725668,MIP2D-1512-I2Ir2S2,I2Ir2S2,6,-1.8787,2.8469679999999995,4.725668,4.725668,0.0
71,train,682,4.805038,MIP2D-1759-Co2O2,Co2O2,4,-3.5793,1.2257380000000002,4.805038,4.805038,0.0
72,train,756,5.535119999999999,MIP2D-1058-Se2Sn1,Se2Sn,3,-3.4304,2.1047199999999995,5.535119999999999,5.535119999999999,0.0
73,train,923,3.83275,MIP2D-1898-Se2W2,Se2W2,4,-2.0476,1.7851499999999998,3.83275,3.83275,0.0
74,train,1410,5.587463,MIP2D-727-I2Sn1,I2Sn,3,-3.6147,1.9727629999999998,5.587463,5.587463,0.0
75,train,476,6.2635380000000005,MIP2D-1302-Cl2Co2S2,Cl2Co2S2,6,-3.7117,2.551838,6.2635380000000005,6.2635380000000005,0.0
76,train,990,5.900027,MIP2D-1796-I2O2Tm2,I2O2Tm2,6,-3.0775,2.822527,5.900027,5.900027,0.0
77,train,940,6.416321,MIP2D-1169-Br2Co2Se2,Br2Co2Se2,6,-3.9488,2.4675209999999996,6.416321,6.416321,0.0
78,train,574,5.577942,MIP2D-1404-Cl2S2Ti2,Cl2S2Ti2,6,-3.0401,2.537842,5.577942,5.577942,0.0
79,train,1345,4.7605319999999995,MIP2D-540-Co1Se2,CoSe2,3,-3.2333,1.5272320000000001,4.7605319999999995,4.7605319999999995,0.0
80,train,1374,5.642879,MIP2D-802-In2Se2,In2Se2,4,-3.1405,2.502379,5.642879,5.642879,0.0
81,train,653,5.514396,MIP2D-868-Nb1Se2,NbSe2,3,-3.0402,2.474196,5.514396,5.514396,0.0
82,train,1503,7.854156,MIP2D-384-Ca1Cl2,CaCl2,3,-6.4876,1.3665559999999999,7.854156,7.854156,0.0
83,train,1145,3.466582,MIP2D-436-Cl2Re1,Cl2Re,3,-1.8588,1.6077819999999998,3.466582,3.466582,0.0
84,train,945,5.927684,MIP2D-855-N2Si2,N2Si2,4,-3.2145,2.713184,5.927684,5.927684,0.0
85,train,1116,5.726854,MIP2D-1398-Cl2Rh2Te2,Cl2Rh2Te2,6,-3.6875,2.0393540000000003,5.726854,5.726854,0.0
86,train,1403,5.064985999999999,MIP2D-437-Cl2Re1,Cl2Re,3,-2.3458,2.7191859999999997,5.064985999999999,5.064985999999999,0.0
87,train,200,6.4073839999999995,MIP2D-484-Cl6Ir2,Cl6Ir2,8,-4.8199,1.5874840000000001,6.4073839999999995,6.4073839999999995,0.0
88,train,979,4.662482,MIP2D-710-I2Os1,I2Os,3,-2.6111,2.051382,4.662482,4.662482,0.0
89,test,130,5.4946269999999995,MIP2D-92-B1N1,BN,2,-4.6617,0.832927,5.4946269999999995,5.4946269999999995,0.0
90,train,471,7.433076,MIP2D-1336-Cl2In2O2,Cl2In2O2,6,-4.8519,2.581176,7.433076,7.433076,0.0
91,train,1426,2.980338,MIP2D-1809-Mg2O4Si1,Mg2O4Si,7,-1.409,1.5713380000000001,2.980338,2.980338,0.0
92,train,122,0.982197,MIP2D-1812-Mn2P2Rb2,Mn2P2Rb2,6,0.2441,1.226297,0.982197,0.982197,0.0
93,train,677,6.594371000000001,MIP2D-145-Br2Fe1,Br2Fe,3,-4.8666,1.7277710000000002,6.594371000000001,6.594371000000001,0.0
94,test,111,5.074287,MIP2D-1626-N1Na1O2,NNaO2,4,-4.5713,0.502987,5.074287,5.074287,0.0
95,train,1273,4.249491999999999,MIP2D-1675-Re2Te6,Re2Te6,8,-1.1003,3.1491919999999993,4.249491999999999,4.249491999999999,0.0
96,train,781,6.519176,MIP2D-248-Br6Sb2,Br6Sb2,8,-5.0365,1.482676,6.519176,6.519176,0.0
97,test,27,6.538641,MIP2D-1038-S2Zr1,S2Zr,3,-4.2955,2.243141,6.538641,6.538641,0.0
98,train,253,6.0693529999999996,MIP2D-1187-Br2Ge2N2,Br2Ge2N2,6,-3.5118,2.5575529999999995,6.0693529999999996,6.0693529999999996,0.0
99,train,138,4.869330999999999,MIP2D-1233-Br2Nb2S2,Br2Nb2S2,6,-2.0017,2.8676309999999994,4.869330999999999,4.869330999999999,0.0
100,train,601,4.625909000000001,MIP2D-332-C2F2Nb3,C2F2Nb3,7,0.0405,4.666409000000001,4.625909000000001,4.625909000000001,0.0
101,train,675,5.565309,MIP2D-1-Ag1Bi1P2Se6,AgBiP2Se6,10,-3.5514,2.013909,5.565309,5.565309,0.0
102,train,952,6.257012,MIP2D-1049-Sc1Se2,ScSe2,3,-4.5531,1.7039119999999996,6.257012,6.257012,0.0
103,val,5,6.32375,MIP2D-1182-Br2Fe2Se2,Br2Fe2Se2,6,-3.3147,3.0090500000000007,6.32375,6.32375,0.0
104,val,44,3.160722,MIP2D-748-I2Zr1,I2Zr,3,-0.5599,2.600822,3.160722,3.160722,0.0
105,train,1431,4.857256,MIP2D-758-I6Nb2,I6Nb2,8,-2.8806,1.9766560000000002,4.857256,4.857256,0.0
106,train,1011,6.020994999999999,MIP2D-1099-Ag2Br2N2,Ag2Br2N2,6,-3.7367,2.2842949999999997,6.020994999999999,6.020994999999999,0.0
107,train,1149,5.645620000000001,MIP2D-1273-Br2Se2Sn2,Br2Se2Sn2,6,-3.293,2.3526200000000004,5.645620000000001,5.645620000000001,0.0
108,train,838,5.446726,MIP2D-236-Br6Os2,Br6Os2,8,-3.8047,1.642026,5.446726,5.446726,0.0
109,train,509,5.327933,MIP2D-643-Ge2O6Ti2,Ge2O6Ti2,10,-3.5359,1.792033,5.327933,5.327933,0.0
110,train,623,6.05427,MIP2D-736-I2Tl1,I2Tl,3,-3.8958,2.15847,6.05427,6.05427,0.0
111,val,69,5.806706,MIP2D-158-Br2In1,Br2In,3,-3.8665,1.9402059999999999,5.806706,5.806706,0.0
112,train,238,4.7035800000000005,MIP2D-1054-Sc2Te2,Sc2Te2,4,-2.0213,2.68228,4.7035800000000005,4.7035800000000005,0.0
113,train,270,4.1900249999999994,MIP2D-280-C1F2Ti2,CF2Ti2,5,-1.6005,2.5895249999999996,4.1900249999999994,4.1900249999999994,0.0
114,train,438,5.700899,MIP2D-632-Ge1Se1,GeSe,2,-4.3261,1.3747989999999999,5.700899,5.700899,0.0
115,test,66,4.390593,MIP2D-978-Pt1Se2,PtSe2,3,-2.493,1.897593,4.390593,4.390593,0.0
116,train,329,6.9606959999999996,MIP2D-176-Br2Pb1,Br2Pb,3,-5.2474,1.7132959999999997,6.9606959999999996,6.9606959999999996,0.0
117,train,1518,4.912198999999999,MIP2D-839-Mo1Se2,MoSe2,3,-2.5479,2.364299,4.912198999999999,4.912198999999999,0.0
118,val,6,5.637036,MIP2D-579-Cu2I6,Cu2I6,8,-3.5096,2.1274360000000003,5.637036,5.637036,0.0
119,val,151,6.210378,MIP2D-659-H2O6P2Zr1,H2O6P2Zr,11,-4.9272,1.2831780000000002,6.210378,6.210378,0.0
120,val,12,5.831379,MIP2D-1413-Cl2Se2Tl2,Cl2Se2Tl2,6,-3.1349,2.6964790000000005,5.831379,5.831379,0.0
121,val,100,7.31695,MIP2D-327-C2Cr3O2,C2Cr3O2,7,-2.9296,4.38735,7.31695,7.31695,0.0
122,train,977,6.0701979999999995,MIP2D-810-Ir1Se2,IrSe2,3,-3.6784,2.391798,6.0701979999999995,6.0701979999999995,0.0
123,train,70,5.467193,MIP2D-1621-Mo2S6,Mo2S6,8,-1.767,3.700193,5.467193,5.467193,0.0
124,train,102,6.497819,MIP2D-234-Br6Ni2,Br6Ni2,8,-5.1872,1.310619,6.497819,6.497819,0.0
125,val,64,5.397035,MIP2D-848-N1W2,NW2,3,-2.8148,2.582235,5.397035,5.397035,0.0
126,train,513,4.518176,MIP2D-860-N2Y1,N2Y,3,-3.3082,1.2099760000000002,4.518176,4.518176,0.0
127,train,563,4.817236,MIP2D-992-Re2S2,Re2S2,4,-1.5336,3.283636,4.817236,4.817236,0.0
128,train,1204,5.641629,MIP2D-1358-Cl2N2Ru2,Cl2N2Ru2,6,-3.0037,2.637929,5.641629,5.641629,0.0
129,train,473,4.447444,MIP2D-1624-Mo2Te4,Mo2Te4,6,-1.5955,2.851944,4.447444,4.447444,0.0
130,train,1016,4.229468,MIP2D-451-Cl2Tb2,Cl2Tb2,4,-1.8917,2.337768,4.229468,4.229468,0.0
131,test,18,6.304875,MIP2D-832-Mo1O2,MoO2,3,-4.3103,1.994575,6.304875,6.304875,0.0
132,val,112,5.5893109999999995,MIP2D-246-Br6Ru2,Br6Ru2,8,-4.0703,1.5190110000000001,5.5893109999999995,5.5893109999999995,0.0
133,train,83,6.209743,MIP2D-1179-Br2Fe2N2,Br2Fe2N2,6,-4.0596,2.150143,6.209743,6.209743,0.0
134,train,119,5.220173,MIP2D-1623-Mo2Se6,Mo2Se6,8,-1.9206,3.299573,5.220173,5.220173,0.0
135,train,798,5.124524,MIP2D-1753-Cd1Te1,CdTe,2,-4.1626,0.9619240000000001,5.124524,5.124524,0.0
136,test,58,4.762576000000001,MIP2D-1911-P4,P4,4,-2.9624,1.8001760000000004,4.762576000000001,4.762576000000001,0.0
137,train,321,6.295901,MIP2D-688-Hg1S2,HgS2,3,-4.5397,1.7562010000000001,6.295901,6.295901,0.0
138,train,4,5.359797,MIP2D-961-Pb1Te1,PbTe,2,-3.3157,2.044097,5.359797,5.359797,0.0
139,val,98,3.8145070000000003,MIP2D-1002-Rh2Te2,Rh2Te2,4,-0.5703,3.2442070000000003,3.8145070000000003,3.8145070000000003,0.0
140,train,1512,5.922717,MIP2D-1372-Cl2Ni2Se2,Cl2Ni2Se2,6,-3.6835,2.2392169999999996,5.922717,5.922717,0.0
141,train,1514,2.2051819999999998,MIP2D-286-C1H2Mn2O2,CH2Mn2O2,7,-0.2516,1.9535819999999997,2.2051819999999998,2.2051819999999998,0.0
142,val,144,6.238468,MIP2D-483-Cl6Ir2,Cl6Ir2,8,-4.6779,1.560568,6.238468,6.238468,0.0
143,test,112,7.580726,MIP2D-685-Hg1O2,HgO2,3,-6.1223,1.4584259999999998,7.580726,7.580726,0.0
144,train,1323,6.037656,MIP2D-1185-Br2Ga2S2,Br2Ga2S2,6,-3.7869,2.250756,6.037656,6.037656,0.0
145,train,573,4.449576,MIP2D-603-Fe2Se2,Fe2Se2,4,-2.8277,1.6218759999999999,4.449576,4.449576,0.0
146,val,103,3.8233060000000005,MIP2D-779-I6Ta2,I6Ta2,8,-1.8263,1.9970060000000003,3.8233060000000005,3.8233060000000005,0.0
147,test,86,7.568316,MIP2D-110-Bi2Cl6,Bi2Cl6,8,-6.1416,1.426716,7.568316,7.568316,0.0
148,train,704,4.374126,MIP2D-1140-Au2Cl2Te4,Au2Cl2Te4,8,-2.0837,2.290426,4.374126,4.374126,0.0
149,train,1480,4.656022999999999,MIP2D-1445-Co2Te6,Co2Te6,8,-0.9186,3.7374229999999997,4.656022999999999,4.656022999999999,0.0
150,train,1269,6.541752000000001,MIP2D-1649-O6Ta2,O6Ta2,8,-4.1359,2.405852,6.541752000000001,6.541752000000001,0.0
151,train,1474,3.3958880000000002,MIP2D-658-H2Ni1O2,H2NiO2,5,-2.4442,0.9516880000000001,3.3958880000000002,3.3958880000000002,0.0
152,train,153,7.125205,MIP2D-96-Ba1Br2,BaBr2,3,-5.7389,1.3863050000000001,7.125205,7.125205,0.0
153,train,984,6.585006,MIP2D-213-Br6Cr2,Br6Cr2,8,-5.0906,1.494406,6.585006,6.585006,0.0
154,train,115,4.272382,MIP2D-549-Co2Te2,Co2Te2,4,-2.1491,2.1232820000000006,4.272382,4.272382,0.0
155,val,48,4.86647,MIP2D-846-Mo2Se2,Mo2Se2,4,-1.1576,3.7088699999999997,4.86647,4.86647,0.0
156,train,1121,5.151541999999999,MIP2D-1012-S1Se1Ta1,SSeTa,3,-3.2588,1.8927419999999997,5.151541999999999,5.151541999999999,0.0
157,train,29,6.538047000000001,MIP2D-1018-S2Sc1,S2Sc,3,-5.0011,1.536947,6.538047000000001,6.538047000000001,0.0
158,train,775,4.724463,MIP2D-1070-Se2W1,Se2W,3,-2.6381,2.086363,4.724463,4.724463,0.0
159,train,1225,7.3323409999999996,MIP2D-1648-O6Ru2,O6Ru2,8,-5.1878,2.144541,7.3323409999999996,7.3323409999999996,0.0
160,train,346,3.7623499999999996,MIP2D-1875-S1Sn1,SSn,2,-2.6954,1.06695,3.7623499999999996,3.7623499999999996,0.0
161,train,944,4.821641,MIP2D-884-Ni2S2,Ni2S2,4,-2.8069,2.014741,4.821641,4.821641,0.0
162,test,124,5.121892000000001,MIP2D-1550-I2O2Sn2,I2O2Sn2,6,-1.8737,3.2481920000000004,5.121892000000001,5.121892000000001,0.0
163,train,787,7.339857,MIP2D-16-Ag2Cl6,Ag2Cl6,8,-6.2455,1.094357,7.339857,7.339857,0.0
164,test,106,8.408652,MIP2D-834-Mo1O3,MoO3,4,-6.8614,1.5472519999999998,8.408652,8.408652,0.0
165,train,1516,7.8307389999999995,MIP2D-898-O2Pd1,O2Pd,3,-6.2162,1.6145390000000002,7.8307389999999995,7.8307389999999995,0.0
166,train,1218,4.796633,MIP2D-1282-Br4Ir2,Br4Ir2,6,-3.2386,1.558033,4.796633,4.796633,0.0
167,train,405,4.159884,MIP2D-425-Cl2Nb1,Cl2Nb,3,-1.6833,2.476584,4.159884,4.159884,0.0
168,train,1501,7.349114999999999,MIP2D-478-Cl6Ga2,Cl6Ga2,8,-5.9091,1.4400149999999998,7.349114999999999,7.349114999999999,0.0
169,train,581,7.956445,MIP2D-507-Cl6Sc2,Cl6Sc2,8,-6.5259,1.430545,7.956445,7.956445,0.0
170,train,901,5.030382,MIP2D-673-Hf1Te2,HfTe2,3,-2.7981,2.2322820000000005,5.030382,5.030382,0.0
171,train,671,6.050549,MIP2D-240-Br6Pt2,Br6Pt2,8,-4.58,1.470549,6.050549,6.050549,0.0
172,train,1170,5.895678,MIP2D-1272-Br2Sc2Se2,Br2Sc2Se2,6,-3.8611,2.0345779999999998,5.895678,5.895678,0.0
173,train,49,7.024448,MIP2D-431-Cl2Pb1,Cl2Pb,3,-5.5077,1.5167479999999998,7.024448,7.024448,0.0
174,train,1285,6.839757,MIP2D-502-Cl6Rh2,Cl6Rh2,8,-5.1774,1.662357,6.839757,6.839757,0.0
175,train,655,4.840711,MIP2D-660-H2Si2,H2Si2,4,-3.7647,1.0760109999999998,4.840711,4.840711,0.0
176,val,147,4.222624000000001,MIP2D-1069-Se2W1,Se2W,3,-2.0668,2.1558240000000004,4.222624000000001,4.222624000000001,0.0
177,train,278,6.231824,MIP2D-112-Bi2F2O2,Bi2F2O2,6,-3.8343,2.3975239999999998,6.231824,6.231824,0.0
178,train,1090,4.550178,MIP2D-416-Cl2Ir1,Cl2Ir,3,-2.9564,1.593778,4.550178,4.550178,0.0
179,test,176,7.18754,MIP2D-82-Au2Cl6,Au2Cl6,8,-5.746,1.4415400000000003,7.18754,7.18754,0.0
180,train,857,5.109826,MIP2D-1142-Au2I2N2,Au2I2N2,6,-2.235,2.874826,5.109826,5.109826,0.0
181,train,345,2.589598,MIP2D-290-C1H2O2Ta2,CH2O2Ta2,7,-0.2713,2.318298,2.589598,2.589598,0.0
182,train,352,7.540048,MIP2D-428-Cl2Ni1,Cl2Ni,3,-5.542,1.998048,7.540048,7.540048,0.0
183,train,35,4.130058999999999,MIP2D-465-Cl2Zr1,Cl2Zr,3,-1.7416,2.3884589999999997,4.130058999999999,4.130058999999999,0.0
184,train,464,5.318704,MIP2D-1096-Te2Zr1,Te2Zr,3,-2.7281,2.590604,5.318704,5.318704,0.0
185,train,656,4.376556,MIP2D-1765-Cr2Se2,Cr2Se2,4,-2.4336,1.942956,4.376556,4.376556,0.0
186,train,851,2.843387,MIP2D-738-I2Tm1,I2Tm,3,-0.7404,2.102987,2.843387,2.843387,0.0
187,test,29,5.8724419999999995,MIP2D-612-Ga2I6,Ga2I6,8,-3.9836,1.888842,5.8724419999999995,5.8724419999999995,0.0
188,train,130,5.589733,MIP2D-633-Ge1Se2,GeSe2,3,-3.7302,1.859533,5.589733,5.589733,0.0
189,train,1002,5.703558,MIP2D-118-Bi2Pb1Se4,Bi2PbSe4,7,-1.3574,4.346158,5.703558,5.703558,0.0
190,test,139,6.639302,MIP2D-164-Br2Mn1,Br2Mn,3,-4.8576,1.781702,6.639302,6.639302,0.0
191,train,1060,3.641166,MIP2D-365-C2O2Sc3,C2O2Sc3,7,-1.1914,2.4497660000000003,3.641166,3.641166,0.0
192,test,171,7.9518629999999995,MIP2D-418-Cl2Mg1,Cl2Mg,3,-6.4464,1.5054629999999998,7.9518629999999995,7.9518629999999995,0.0
193,train,811,4.149585999999999,MIP2D-480-Cl6Hf2,Cl6Hf2,8,-2.4509,1.698686,4.149585999999999,4.149585999999999,0.0
194,val,78,5.665849,MIP2D-1591-I4Pd2,I4Pd2,6,-4.0814,1.5844489999999998,5.665849,5.665849,0.0
195,train,604,5.548642,MIP2D-1468-Fe2I2Se2,Fe2I2Se2,6,-2.9501,2.598542,5.548642,5.548642,0.0
196,train,760,4.639710000000001,MIP2D-201-Br2V1,Br2V,3,-2.6312,2.0085100000000002,4.639710000000001,4.639710000000001,0.0
197,train,175,6.515729,MIP2D-103-Bi1Cl1Te1,BiClTe,3,-4.2163,2.299429,6.515729,6.515729,0.0
198,train,123,7.0929839999999995,MIP2D-1315-Cl2Fe2N2,Cl2Fe2N2,6,-4.702,2.390984,7.0929839999999995,7.0929839999999995,0.0
199,test,137,5.047811,MIP2D-429-Cl2Os1,Cl2Os,3,-3.4361,1.6117110000000001,5.047811,5.047811,0.0
200,train,114,5.511474,MIP2D-823-Mn1Se2,MnSe2,3,-3.5622,1.9492740000000002,5.511474,5.511474,0.0
201,val,45,7.541275000000001,MIP2D-1652-O6W2,O6W2,8,-5.6843,1.8569749999999998,7.541275000000001,7.541275000000001,0.0
202,val,65,4.132585000000001,MIP2D-443-Cl2Sc1,Cl2Sc,3,-2.1472,1.9853850000000002,4.132585000000001,4.132585000000001,0.0
203,train,913,5.759508,MIP2D-857-N2Sn2,N2Sn2,4,-2.9361,2.823408,5.759508,5.759508,0.0
